Table,DMStat,DMRisk,DMBMI,DMAge,F_RIDRETH3,RIDRETH3,F_RIAGENDR,RIAGENDR,Frequency,WgtFreq,StdDev,Percent,StdErr,_SkipLine
Table 8 of RIDRETH3 * RIAGENDR,Diagnosed Diabetes,Not at risk,Overwweight,Over 70,NonHispanic Black,NonHispanic Black,Male,Male,1,12734,12734,1.7783,1.7707,-
Table 8 of RIDRETH3 * RIAGENDR,Diagnosed Diabetes,Not at risk,Overwweight,Over 70,NonHispanic Black,NonHispanic Black,Female,Female,3,56529,41305,7.8940,5.7299,
Table 8 of RIDRETH3 * RIAGENDR,Diagnosed Diabetes,Not at risk,Overwweight,Over 70,NonHispanic Black,NonHispanic Black,Total,,4,69263,43224,9.6723,5.9791,1
Table 8 of RIDRETH3 * RIAGENDR,Diagnosed Diabetes,Not at risk,Overwweight,Over 70,NonHispanic Asian,NonHispanic Asian,Male,Male,6,111511,70174,15.5719,9.0104,-
Table 8 of RIDRETH3 * RIAGENDR,Diagnosed Diabetes,Not at risk,Overwweight,Over 70,NonHispanic Asian,NonHispanic Asian,Female,Female,2,47738,2101,6.6663,1.2601,
Table 8 of RIDRETH3 * RIAGENDR,Diagnosed Diabetes,Not at risk,Overwweight,Over 70,NonHispanic Asian,NonHispanic Asian,Total,,8,159248,70206,22.2382,8.9403,1
Table 8 of RIDRETH3 * RIAGENDR,Diagnosed Diabetes,Not at risk,Overwweight,Over 70,Other Race Including Multi Racial,Other Race Including Multi Racial,Male,Male,0,,,,,-
Table 8 of RIDRETH3 * RIAGENDR,Diagnosed Diabetes,Not at risk,Overwweight,Over 70,Other Race Including Multi Racial,Other Race Including Multi Racial,Female,Female,0,,,,,
Table 8 of RIDRETH3 * RIAGENDR,Diagnosed Diabetes,Not at risk,Overwweight,Over 70,Other Race Including Multi Racial,Other Race Including Multi Racial,Total,,0,,,,,1
Table 8 of RIDRETH3 * RIAGENDR,Diagnosed Diabetes,Not at risk,Overwweight,Over 70,Total,,Male,Male,18,433300,133259,60.5083,12.9360,-
Table 8 of RIDRETH3 * RIAGENDR,Diagnosed Diabetes,Not at risk,Overwweight,Over 70,Total,,Female,Female,10,282800,98987,39.4917,12.9360,
Table 8 of RIDRETH3 * RIAGENDR,Diagnosed Diabetes,Not at risk,Overwweight,Over 70,Total,,Total,,28,716100,135086,100.0000,_,1
Table 9 of RIDRETH3 * RIAGENDR,Diagnosed Diabetes,Not at risk,Healthy,Over 70,Mexican American,Mexican American,Male,Male,3,29919,17310,7.5745,4.2112,
Table 9 of RIDRETH3 * RIAGENDR,Diagnosed Diabetes,Not at risk,Healthy,Over 70,Mexican American,Mexican American,Female,Female,2,22687,16066,5.7437,4.5532,
Table 9 of RIDRETH3 * RIAGENDR,Diagnosed Diabetes,Not at risk,Healthy,Over 70,Mexican American,Mexican American,Total,,5,52606,23617,13.3182,6.5478,1
Table 9 of RIDRETH3 * RIAGENDR,Diagnosed Diabetes,Not at risk,Healthy,Over 70,Other Hispanic,Other Hispanic,Male,Male,0,,,,,-
Table 9 of RIDRETH3 * RIAGENDR,Diagnosed Diabetes,Not at risk,Healthy,Over 70,Other Hispanic,Other Hispanic,Female,Female,1,10745,10745,2.7204,3.3059,
Table 9 of RIDRETH3 * RIAGENDR,Diagnosed Diabetes,Not at risk,Healthy,Over 70,Other Hispanic,Other Hispanic,Total,,1,10745,10745,2.7204,3.3059,1
Table 9 of RIDRETH3 * RIAGENDR,Diagnosed Diabetes,Not at risk,Healthy,Over 70,NonHispanic White,NonHispanic White,Male,Male,2,108179,90649,27.3878,18.6693,-
Table 9 of RIDRETH3 * RIAGENDR,Diagnosed Diabetes,Not at risk,Healthy,Over 70,NonHispanic White,NonHispanic White,Female,Female,1,70040,70040,17.7321,14.7825,
Table 9 of RIDRETH3 * RIAGENDR,Diagnosed Diabetes,Not at risk,Healthy,Over 70,NonHispanic White,NonHispanic White,Total,,3,178219,114555,45.1199,17.4241,1
Table 9 of RIDRETH3 * RIAGENDR,Diagnosed Diabetes,Not at risk,Healthy,Over 70,NonHispanic Black,NonHispanic Black,Male,Male,4,54564,27531,13.8140,7.8777,-
Table 9 of RIDRETH3 * RIAGENDR,Diagnosed Diabetes,Not at risk,Healthy,Over 70,NonHispanic Black,NonHispanic Black,Female,Female,0,,,,,
Table 9 of RIDRETH3 * RIAGENDR,Diagnosed Diabetes,Not at risk,Healthy,Over 70,NonHispanic Black,NonHispanic Black,Total,,4,54564,27531,13.8140,7.8777,1
Table 9 of RIDRETH3 * RIAGENDR,Diagnosed Diabetes,Not at risk,Healthy,Over 70,NonHispanic Asian,NonHispanic Asian,Male,Male,1,20008,20008,5.0654,5.1425,-
Table 9 of RIDRETH3 * RIAGENDR,Diagnosed Diabetes,Not at risk,Healthy,Over 70,NonHispanic Asian,NonHispanic Asian,Female,Female,0,,,,,
Table 9 of RIDRETH3 * RIAGENDR,Diagnosed Diabetes,Not at risk,Healthy,Over 70,NonHispanic Asian,NonHispanic Asian,Total,,1,20008,20008,5.0654,5.1425,1
Table 9 of RIDRETH3 * RIAGENDR,Diagnosed Diabetes,Not at risk,Healthy,Over 70,Other Race Including Multi Racial,Other Race Including Multi Racial,Male,Male,1,78848,78848,19.9620,17.7107,-
Table 9 of RIDRETH3 * RIAGENDR,Diagnosed Diabetes,Not at risk,Healthy,Over 70,Other Race Including Multi Racial,Other Race Including Multi Racial,Female,Female,0,,,,,
Table 9 of RIDRETH3 * RIAGENDR,Diagnosed Diabetes,Not at risk,Healthy,Over 70,Other Race Including Multi Racial,Other Race Including Multi Racial,Total,,1,78848,78848,19.9620,17.7107,1
Table 9 of RIDRETH3 * RIAGENDR,Diagnosed Diabetes,Not at risk,Healthy,Over 70,Total,,Male,Male,11,291518,123290,73.8038,15.8042,-
Table 9 of RIDRETH3 * RIAGENDR,Diagnosed Diabetes,Not at risk,Healthy,Over 70,Total,,Female,Female,4,103472,72658,26.1962,15.8042,
Table 9 of RIDRETH3 * RIAGENDR,Diagnosed Diabetes,Not at risk,Healthy,Over 70,Total,,Total,,15,394990,143500,100.0000,_,1
Table 10 of RIDRETH3 * RIAGENDR,Diagnosed Prediabetes,At risk,Obese,40-44,Mexican American,Mexican American,Male,Male,3,117192,69313,6.3552,3.7830,
Table 10 of RIDRETH3 * RIAGENDR,Diagnosed Prediabetes,At risk,Obese,40-44,Mexican American,Mexican American,Female,Female,4,84055,21925,4.5582,1.3863,
Table 10 of RIDRETH3 * RIAGENDR,Diagnosed Prediabetes,At risk,Obese,40-44,Mexican American,Mexican American,Total,,7,201246,72698,10.9134,4.1319,1
Table 10 of RIDRETH3 * RIAGENDR,Diagnosed Prediabetes,At risk,Obese,40-44,Other Hispanic,Other Hispanic,Male,Male,2,72522,51419,3.9328,2.6680,-
Table 10 of RIDRETH3 * RIAGENDR,Diagnosed Prediabetes,At risk,Obese,40-44,Other Hispanic,Other Hispanic,Female,Female,3,83125,48044,4.5078,2.5549,
Table 10 of RIDRETH3 * RIAGENDR,Diagnosed Prediabetes,At risk,Obese,40-44,Other Hispanic,Other Hispanic,Total,,5,155647,83601,8.4406,4.3192,1
Table 10 of RIDRETH3 * RIAGENDR,Diagnosed Prediabetes,At risk,Obese,40-44,NonHispanic White,NonHispanic White,Male,Male,2,176621,137131,9.5780,6.8036,-
Table 10 of RIDRETH3 * RIAGENDR,Diagnosed Prediabetes,At risk,Obese,40-44,NonHispanic White,NonHispanic White,Female,Female,8,861662,271125,46.7271,8.0703,
Table 10 of RIDRETH3 * RIAGENDR,Diagnosed Prediabetes,At risk,Obese,40-44,NonHispanic White,NonHispanic White,Total,,10,1038283,311594,56.3051,7.1090,1
Table 10 of RIDRETH3 * RIAGENDR,Diagnosed Prediabetes,At risk,Obese,40-44,NonHispanic Black,NonHispanic Black,Male,Male,3,81074,46917,4.3966,2.7786,-
Table 10 of RIDRETH3 * RIAGENDR,Diagnosed Prediabetes,At risk,Obese,40-44,NonHispanic Black,NonHispanic Black,Female,Female,7,168111,76192,9.1165,4.5111,
Table 10 of RIDRETH3 * RIAGENDR,Diagnosed Prediabetes,At risk,Obese,40-44,NonHispanic Black,NonHispanic Black,Total,,10,249186,74727,13.5131,5.0115,1
Table 10 of RIDRETH3 * RIAGENDR,Diagnosed Prediabetes,At risk,Obese,40-44,NonHispanic Asian,NonHispanic Asian,Male,Male,2,52426,37591,2.8430,2.2446,-
Table 10 of RIDRETH3 * RIAGENDR,Diagnosed Prediabetes,At risk,Obese,40-44,NonHispanic Asian,NonHispanic Asian,Female,Female,1,19599,19599,1.0628,1.0710,
Table 10 of RIDRETH3 * RIAGENDR,Diagnosed Prediabetes,At risk,Obese,40-44,NonHispanic Asian,NonHispanic Asian,Total,,3,72024,42394,3.9058,2.5617,1
Table 10 of RIDRETH3 * RIAGENDR,Diagnosed Prediabetes,At risk,Obese,40-44,Other Race Including Multi Racial,Other Race Including Multi Racial,Male,Male,4,98452,53869,5.3390,2.8695,-
Table 10 of RIDRETH3 * RIAGENDR,Diagnosed Prediabetes,At risk,Obese,40-44,Other Race Including Multi Racial,Other Race Including Multi Racial,Female,Female,1,29192,29192,1.5830,1.4088,
Table 10 of RIDRETH3 * RIAGENDR,Diagnosed Prediabetes,At risk,Obese,40-44,Other Race Including Multi Racial,Other Race Including Multi Racial,Total,,5,127644,76262,6.9220,3.7993,1
Table 10 of RIDRETH3 * RIAGENDR,Diagnosed Prediabetes,At risk,Obese,40-44,Total,,Male,Male,16,598286,153411,32.4445,7.1867,-
Table 10 of RIDRETH3 * RIAGENDR,Diagnosed Prediabetes,At risk,Obese,40-44,Total,,Female,Female,24,1245744,299183,67.5555,7.1867,
Table 10 of RIDRETH3 * RIAGENDR,Diagnosed Prediabetes,At risk,Obese,40-44,Total,,Total,,40,1844030,353423,100.0000,_,1
Table 11 of RIDRETH3 * RIAGENDR,Diagnosed Prediabetes,At risk,Obese,45-49,Mexican American,Mexican American,Male,Male,2,83944,59373,5.5461,4.0405,
Table 11 of RIDRETH3 * RIAGENDR,Diagnosed Prediabetes,At risk,Obese,45-49,Mexican American,Mexican American,Female,Female,3,64795,38155,4.2810,2.5545,
Table 11 of RIDRETH3 * RIAGENDR,Diagnosed Prediabetes,At risk,Obese,45-49,Mexican American,Mexican American,Total,,5,148739,79688,9.8271,5.4563,1
Table 11 of RIDRETH3 * RIAGENDR,Diagnosed Prediabetes,At risk,Obese,45-49,Other Hispanic,Other Hispanic,Male,Male,1,30979,30979,2.0468,2.0732,-
Table 11 of RIDRETH3 * RIAGENDR,Diagnosed Prediabetes,At risk,Obese,45-49,Other Hispanic,Other Hispanic,Female,Female,0,,,,,
Table 11 of RIDRETH3 * RIAGENDR,Diagnosed Prediabetes,At risk,Obese,45-49,Other Hispanic,Other Hispanic,Total,,1,30979,30979,2.0468,2.0732,1
Table 11 of RIDRETH3 * RIAGENDR,Diagnosed Prediabetes,At risk,Obese,45-49,NonHispanic White,NonHispanic White,Male,Male,8,701189,171983,46.3275,7.5739,-
Table 11 of RIDRETH3 * RIAGENDR,Diagnosed Prediabetes,At risk,Obese,45-49,NonHispanic White,NonHispanic White,Female,Female,6,388728,155963,25.6832,5.8229,
Table 11 of RIDRETH3 * RIAGENDR,Diagnosed Prediabetes,At risk,Obese,45-49,NonHispanic White,NonHispanic White,Total,,14,1089917,284809,72.0107,6.3177,1
Table 11 of RIDRETH3 * RIAGENDR,Diagnosed Prediabetes,At risk,Obese,45-49,NonHispanic Black,NonHispanic Black,Male,Male,2,46802,33436,3.0922,2.0097,-
Table 11 of RIDRETH3 * RIAGENDR,Diagnosed Prediabetes,At risk,Obese,45-49,NonHispanic Black,NonHispanic Black,Female,Female,2,47849,34008,3.1614,2.0454,
Table 11 of RIDRETH3 * RIAGENDR,Diagnosed Prediabetes,At risk,Obese,45-49,NonHispanic Black,NonHispanic Black,Total,,4,94650,60710,6.2535,3.5604,1
Table 11 of RIDRETH3 * RIAGENDR,Diagnosed Prediabetes,At risk,Obese,45-49,NonHispanic Asian,NonHispanic Asian,Male,Male,4,79593,50356,5.2587,3.2653,-
Table 11 of RIDRETH3 * RIAGENDR,Diagnosed Prediabetes,At risk,Obese,45-49,NonHispanic Asian,NonHispanic Asian,Female,Female,2,45432,32304,3.0017,2.2404,
Table 11 of RIDRETH3 * RIAGENDR,Diagnosed Prediabetes,At risk,Obese,45-49,NonHispanic Asian,NonHispanic Asian,Total,,6,125025,59827,8.2604,4.0327,1
Table 11 of RIDRETH3 * RIAGENDR,Diagnosed Prediabetes,At risk,Obese,45-49,Other Race Including Multi Racial,Other Race Including Multi Racial,Male,Male,0,,,,,-
Table 11 of RIDRETH3 * RIAGENDR,Diagnosed Prediabetes,At risk,Obese,45-49,Other Race Including Multi Racial,Other Race Including Multi Racial,Female,Female,1,24238,24238,1.6014,1.5898,
Table 11 of RIDRETH3 * RIAGENDR,Diagnosed Prediabetes,At risk,Obese,45-49,Other Race Including Multi Racial,Other Race Including Multi Racial,Total,,1,24238,24238,1.6014,1.5898,1
Table 11 of RIDRETH3 * RIAGENDR,Diagnosed Prediabetes,At risk,Obese,45-49,Total,,Male,Male,17,942507,182041,62.2713,6.3476,-
Table 11 of RIDRETH3 * RIAGENDR,Diagnosed Prediabetes,At risk,Obese,45-49,Total,,Female,Female,14,571042,185573,37.7287,6.3476,
Table 11 of RIDRETH3 * RIAGENDR,Diagnosed Prediabetes,At risk,Obese,45-49,Total,,Total,,31,1513549,324356,100.0000,_,1
Table 12 of RIDRETH3 * RIAGENDR,Diagnosed Prediabetes,At risk,Obese,50-54,Mexican American,Mexican American,Male,Male,4,101383,51083,4.7473,2.3485,
Table 12 of RIDRETH3 * RIAGENDR,Diagnosed Prediabetes,At risk,Obese,50-54,Mexican American,Mexican American,Female,Female,6,114565,42874,5.3645,2.4002,
Table 12 of RIDRETH3 * RIAGENDR,Diagnosed Prediabetes,At risk,Obese,50-54,Mexican American,Mexican American,Total,,10,215947,66186,10.1119,3.5252,1
Table 12 of RIDRETH3 * RIAGENDR,Diagnosed Prediabetes,At risk,Obese,50-54,Other Hispanic,Other Hispanic,Male,Male,5,109035,35955,5.1056,1.9354,-
Table 12 of RIDRETH3 * RIAGENDR,Diagnosed Prediabetes,At risk,Obese,50-54,Other Hispanic,Other Hispanic,Female,Female,4,54150,27372,2.5356,1.4408,
Table 12 of RIDRETH3 * RIAGENDR,Diagnosed Prediabetes,At risk,Obese,50-54,Other Hispanic,Other Hispanic,Total,,9,163185,56964,7.6412,3.1280,1
Table 12 of RIDRETH3 * RIAGENDR,Diagnosed Prediabetes,At risk,Obese,50-54,NonHispanic White,NonHispanic White,Male,Male,6,747372,398295,34.9961,13.2512,-
Table 12 of RIDRETH3 * RIAGENDR,Diagnosed Prediabetes,At risk,Obese,50-54,NonHispanic White,NonHispanic White,Female,Female,7,765304,217626,35.8358,9.1109,
Table 12 of RIDRETH3 * RIAGENDR,Diagnosed Prediabetes,At risk,Obese,50-54,NonHispanic White,NonHispanic White,Total,,13,1512676,459691,70.8319,8.5755,1
Table 12 of RIDRETH3 * RIAGENDR,Diagnosed Prediabetes,At risk,Obese,50-54,NonHispanic Black,NonHispanic Black,Male,Male,4,87499,54247,4.0972,2.8598,-
Table 12 of RIDRETH3 * RIAGENDR,Diagnosed Prediabetes,At risk,Obese,50-54,NonHispanic Black,NonHispanic Black,Female,Female,4,89010,32033,4.1679,2.0148,
Table 12 of RIDRETH3 * RIAGENDR,Diagnosed Prediabetes,At risk,Obese,50-54,NonHispanic Black,NonHispanic Black,Total,,8,176508,62998,8.2651,3.9715,1
Table 12 of RIDRETH3 * RIAGENDR,Diagnosed Prediabetes,At risk,Obese,50-54,NonHispanic Asian,NonHispanic Asian,Male,Male,2,31020,21998,1.4525,1.1021,-
Table 12 of RIDRETH3 * RIAGENDR,Diagnosed Prediabetes,At risk,Obese,50-54,NonHispanic Asian,NonHispanic Asian,Female,Female,0,,,,,
Table 12 of RIDRETH3 * RIAGENDR,Diagnosed Prediabetes,At risk,Obese,50-54,NonHispanic Asian,NonHispanic Asian,Total,,2,31020,21998,1.4525,1.1021,1
Table 12 of RIDRETH3 * RIAGENDR,Diagnosed Prediabetes,At risk,Obese,50-54,Other Race Including Multi Racial,Other Race Including Multi Racial,Male,Male,0,,,,,-
Table 12 of RIDRETH3 * RIAGENDR,Diagnosed Prediabetes,At risk,Obese,50-54,Other Race Including Multi Racial,Other Race Including Multi Racial,Female,Female,1,36250,36250,1.6974,1.7327,
Table 12 of RIDRETH3 * RIAGENDR,Diagnosed Prediabetes,At risk,Obese,50-54,Other Race Including Multi Racial,Other Race Including Multi Racial,Total,,1,36250,36250,1.6974,1.7327,1
Table 12 of RIDRETH3 * RIAGENDR,Diagnosed Prediabetes,At risk,Obese,50-54,Total,,Male,Male,21,1076308,396171,50.3987,11.3778,-
Table 12 of RIDRETH3 * RIAGENDR,Diagnosed Prediabetes,At risk,Obese,50-54,Total,,Female,Female,22,1059278,222702,49.6013,11.3778,
Table 12 of RIDRETH3 * RIAGENDR,Diagnosed Prediabetes,At risk,Obese,50-54,Total,,Total,,43,2135586,418609,100.0000,_,1
Table 13 of RIDRETH3 * RIAGENDR,Diagnosed Prediabetes,At risk,Obese,55-59,Mexican American,Mexican American,Male,Male,4,87612,57383,3.2237,2.6091,
Table 13 of RIDRETH3 * RIAGENDR,Diagnosed Prediabetes,At risk,Obese,55-59,Mexican American,Mexican American,Female,Female,6,95486,33552,3.5134,1.4943,
Table 13 of RIDRETH3 * RIAGENDR,Diagnosed Prediabetes,At risk,Obese,55-59,Mexican American,Mexican American,Total,,10,183098,66472,6.7371,3.5001,1
Table 13 of RIDRETH3 * RIAGENDR,Diagnosed Prediabetes,At risk,Obese,55-59,Other Hispanic,Other Hispanic,Male,Male,2,38146,27275,1.4036,1.0073,-
Table 13 of RIDRETH3 * RIAGENDR,Diagnosed Prediabetes,At risk,Obese,55-59,Other Hispanic,Other Hispanic,Female,Female,5,86031,38739,3.1655,1.5797,
Table 13 of RIDRETH3 * RIAGENDR,Diagnosed Prediabetes,At risk,Obese,55-59,Other Hispanic,Other Hispanic,Total,,7,124177,47378,4.5691,1.9320,1
Table 13 of RIDRETH3 * RIAGENDR,Diagnosed Prediabetes,At risk,Obese,55-59,NonHispanic White,NonHispanic White,Male,Male,9,703042,349551,25.8683,8.2485,-
Table 13 of RIDRETH3 * RIAGENDR,Diagnosed Prediabetes,At risk,Obese,55-59,NonHispanic White,NonHispanic White,Female,Female,11,1410016,374562,51.8813,6.4421,
Table 13 of RIDRETH3 * RIAGENDR,Diagnosed Prediabetes,At risk,Obese,55-59,NonHispanic White,NonHispanic White,Total,,20,2113058,650421,77.7496,7.5892,1
Table 13 of RIDRETH3 * RIAGENDR,Diagnosed Prediabetes,At risk,Obese,55-59,NonHispanic Black,NonHispanic Black,Male,Male,6,145841,60882,5.3662,2.2624,-
Table 13 of RIDRETH3 * RIAGENDR,Diagnosed Prediabetes,At risk,Obese,55-59,NonHispanic Black,NonHispanic Black,Female,Female,4,101743,51344,3.7436,2.4187,
Table 13 of RIDRETH3 * RIAGENDR,Diagnosed Prediabetes,At risk,Obese,55-59,NonHispanic Black,NonHispanic Black,Total,,10,247584,86985,9.1098,3.9956,1
Table 13 of RIDRETH3 * RIAGENDR,Diagnosed Prediabetes,At risk,Obese,55-59,NonHispanic Asian,NonHispanic Asian,Male,Male,2,32061,7025,1.1797,0.3823,-
Table 13 of RIDRETH3 * RIAGENDR,Diagnosed Prediabetes,At risk,Obese,55-59,NonHispanic Asian,NonHispanic Asian,Female,Female,0,,,,,
Table 13 of RIDRETH3 * RIAGENDR,Diagnosed Prediabetes,At risk,Obese,55-59,NonHispanic Asian,NonHispanic Asian,Total,,2,32061,7025,1.1797,0.3823,1
Table 13 of RIDRETH3 * RIAGENDR,Diagnosed Prediabetes,At risk,Obese,55-59,Other Race Including Multi Racial,Other Race Including Multi Racial,Male,Male,1,17796,17796,0.6548,0.6659,-
Table 13 of RIDRETH3 * RIAGENDR,Diagnosed Prediabetes,At risk,Obese,55-59,Other Race Including Multi Racial,Other Race Including Multi Racial,Female,Female,0,,,,,
Table 13 of RIDRETH3 * RIAGENDR,Diagnosed Prediabetes,At risk,Obese,55-59,Other Race Including Multi Racial,Other Race Including Multi Racial,Total,,1,17796,17796,0.6548,0.6659,1
Table 13 of RIDRETH3 * RIAGENDR,Diagnosed Prediabetes,At risk,Obese,55-59,Total,,Male,Male,24,1024497,339616,37.6962,6.7821,-
Table 13 of RIDRETH3 * RIAGENDR,Diagnosed Prediabetes,At risk,Obese,55-59,Total,,Female,Female,26,1693277,348683,62.3038,6.7821,
Table 13 of RIDRETH3 * RIAGENDR,Diagnosed Prediabetes,At risk,Obese,55-59,Total,,Total,,50,2717773,597035,100.0000,_,1
Table 14 of RIDRETH3 * RIAGENDR,Diagnosed Prediabetes,At risk,Obese,60-64,Mexican American,Mexican American,Male,Male,3,26885,15564,1.6734,1.0073,
Table 14 of RIDRETH3 * RIAGENDR,Diagnosed Prediabetes,At risk,Obese,60-64,Mexican American,Mexican American,Female,Female,8,78265,34387,4.8714,2.1988,
Table 14 of RIDRETH3 * RIAGENDR,Diagnosed Prediabetes,At risk,Obese,60-64,Mexican American,Mexican American,Total,,11,105150,37231,6.5448,2.4513,1
Table 14 of RIDRETH3 * RIAGENDR,Diagnosed Prediabetes,At risk,Obese,60-64,Other Hispanic,Other Hispanic,Male,Male,4,39149,17822,2.4367,0.8528,-
Table 14 of RIDRETH3 * RIAGENDR,Diagnosed Prediabetes,At risk,Obese,60-64,Other Hispanic,Other Hispanic,Female,Female,5,45161,23439,2.8110,1.4501,
Table 14 of RIDRETH3 * RIAGENDR,Diagnosed Prediabetes,At risk,Obese,60-64,Other Hispanic,Other Hispanic,Total,,9,84310,36087,5.2477,1.9783,1
Table 14 of RIDRETH3 * RIAGENDR,Diagnosed Prediabetes,At risk,Obese,60-64,NonHispanic White,NonHispanic White,Male,Male,6,622698,311755,38.7584,6.8188,-
Table 14 of RIDRETH3 * RIAGENDR,Diagnosed Prediabetes,At risk,Obese,60-64,NonHispanic White,NonHispanic White,Female,Female,5,596112,309528,37.1036,6.9375,
Table 14 of RIDRETH3 * RIAGENDR,Diagnosed Prediabetes,At risk,Obese,60-64,NonHispanic White,NonHispanic White,Total,,11,1218810,593478,75.8619,7.6197,1
Table 14 of RIDRETH3 * RIAGENDR,Diagnosed Prediabetes,At risk,Obese,60-64,NonHispanic Black,NonHispanic Black,Male,Male,3,37738,27468,2.3489,1.5403,-
Table 14 of RIDRETH3 * RIAGENDR,Diagnosed Prediabetes,At risk,Obese,60-64,NonHispanic Black,NonHispanic Black,Female,Female,6,123341,50551,7.6771,4.7135,
Table 14 of RIDRETH3 * RIAGENDR,Diagnosed Prediabetes,At risk,Obese,60-64,NonHispanic Black,NonHispanic Black,Total,,9,161079,52436,10.0260,4.9385,1
Table 14 of RIDRETH3 * RIAGENDR,Diagnosed Prediabetes,At risk,Obese,60-64,NonHispanic Asian,NonHispanic Asian,Male,Male,0,,,,,-
Table 14 of RIDRETH3 * RIAGENDR,Diagnosed Prediabetes,At risk,Obese,60-64,NonHispanic Asian,NonHispanic Asian,Female,Female,1,16375,16375,1.0192,1.0837,
Table 14 of RIDRETH3 * RIAGENDR,Diagnosed Prediabetes,At risk,Obese,60-64,NonHispanic Asian,NonHispanic Asian,Total,,1,16375,16375,1.0192,1.0837,1
Table 14 of RIDRETH3 * RIAGENDR,Diagnosed Prediabetes,At risk,Obese,60-64,Other Race Including Multi Racial,Other Race Including Multi Racial,Male,Male,0,,,,,-
Table 14 of RIDRETH3 * RIAGENDR,Diagnosed Prediabetes,At risk,Obese,60-64,Other Race Including Multi Racial,Other Race Including Multi Racial,Female,Female,1,20892,20892,1.3004,1.3894,
Table 14 of RIDRETH3 * RIAGENDR,Diagnosed Prediabetes,At risk,Obese,60-64,Other Race Including Multi Racial,Other Race Including Multi Racial,Total,,1,20892,20892,1.3004,1.3894,1
Table 14 of RIDRETH3 * RIAGENDR,Diagnosed Prediabetes,At risk,Obese,60-64,Total,,Male,Male,16,726469,343200,45.2173,7.3079,-
Table 14 of RIDRETH3 * RIAGENDR,Diagnosed Prediabetes,At risk,Obese,60-64,Total,,Female,Female,26,880147,330333,54.7827,7.3079,
Table 14 of RIDRETH3 * RIAGENDR,Diagnosed Prediabetes,At risk,Obese,60-64,Total,,Total,,42,1606616,635631,100.0000,_,1
Table 15 of RIDRETH3 * RIAGENDR,Diagnosed Prediabetes,At risk,Obese,65-70,Mexican American,Mexican American,Male,Male,0,,,,,
Table 15 of RIDRETH3 * RIAGENDR,Diagnosed Prediabetes,At risk,Obese,65-70,Mexican American,Mexican American,Female,Female,5,48489,25283,2.1589,1.4988,
Table 15 of RIDRETH3 * RIAGENDR,Diagnosed Prediabetes,At risk,Obese,65-70,Mexican American,Mexican American,Total,,5,48489,25283,2.1589,1.4988,1
Table 15 of RIDRETH3 * RIAGENDR,Diagnosed Prediabetes,At risk,Obese,65-70,Other Hispanic,Other Hispanic,Male,Male,4,33844,20328,1.5069,1.0429,-
Table 15 of RIDRETH3 * RIAGENDR,Diagnosed Prediabetes,At risk,Obese,65-70,Other Hispanic,Other Hispanic,Female,Female,9,83217,28170,3.7051,1.5349,
Table 15 of RIDRETH3 * RIAGENDR,Diagnosed Prediabetes,At risk,Obese,65-70,Other Hispanic,Other Hispanic,Total,,13,117061,36678,5.2120,2.1672,1
Table 15 of RIDRETH3 * RIAGENDR,Diagnosed Prediabetes,At risk,Obese,65-70,NonHispanic White,NonHispanic White,Male,Male,6,364881,181109,16.2458,5.5787,-
Table 15 of RIDRETH3 * RIAGENDR,Diagnosed Prediabetes,At risk,Obese,65-70,NonHispanic White,NonHispanic White,Female,Female,10,1151306,348800,51.2602,8.9613,
Table 15 of RIDRETH3 * RIAGENDR,Diagnosed Prediabetes,At risk,Obese,65-70,NonHispanic White,NonHispanic White,Total,,16,1516187,471459,67.5060,9.3758,1
Table 15 of RIDRETH3 * RIAGENDR,Diagnosed Prediabetes,At risk,Obese,65-70,NonHispanic Black,NonHispanic Black,Male,Male,4,50833,31157,2.2632,1.5442,-
Table 15 of RIDRETH3 * RIAGENDR,Diagnosed Prediabetes,At risk,Obese,65-70,NonHispanic Black,NonHispanic Black,Female,Female,6,127859,53187,5.6927,2.6923,
Table 15 of RIDRETH3 * RIAGENDR,Diagnosed Prediabetes,At risk,Obese,65-70,NonHispanic Black,NonHispanic Black,Total,,10,178692,56804,7.9560,3.2105,1
Table 15 of RIDRETH3 * RIAGENDR,Diagnosed Prediabetes,At risk,Obese,65-70,NonHispanic Asian,NonHispanic Asian,Male,Male,1,22090,22090,0.9835,0.9879,-
Table 15 of RIDRETH3 * RIAGENDR,Diagnosed Prediabetes,At risk,Obese,65-70,NonHispanic Asian,NonHispanic Asian,Female,Female,4,86134,54255,3.8350,2.5033,
Table 15 of RIDRETH3 * RIAGENDR,Diagnosed Prediabetes,At risk,Obese,65-70,NonHispanic Asian,NonHispanic Asian,Total,,5,108224,74032,4.8185,3.3836,1
Table 15 of RIDRETH3 * RIAGENDR,Diagnosed Prediabetes,At risk,Obese,65-70,Other Race Including Multi Racial,Other Race Including Multi Racial,Male,Male,1,130600,130600,5.8148,4.7011,-
Table 15 of RIDRETH3 * RIAGENDR,Diagnosed Prediabetes,At risk,Obese,65-70,Other Race Including Multi Racial,Other Race Including Multi Racial,Female,Female,1,146751,146751,6.5339,6.6990,
Table 15 of RIDRETH3 * RIAGENDR,Diagnosed Prediabetes,At risk,Obese,65-70,Other Race Including Multi Racial,Other Race Including Multi Racial,Total,,2,277352,196449,12.3487,7.4674,1
