Status,Risk,BMI,Age,Race,Sex,N,Population,Percent
Diagnosed Prediabetes,At risk,Obese,60-64,Other Hispanic,Female,5,45161,2.811
Diagnosed Prediabetes,At risk,Obese,60-64,Other Hispanic,,9,84310,5.2477
Diagnosed Prediabetes,At risk,Obese,60-64,NonHispanic White,Male,6,622698,38.7584
Diagnosed Prediabetes,At risk,Obese,60-64,NonHispanic White,Female,5,596112,37.1036
Diagnosed Prediabetes,At risk,Obese,60-64,NonHispanic White,,11,1218810,75.8619
Diagnosed Prediabetes,At risk,Obese,60-64,NonHispanic Black,Male,3,37738,2.3489
Diagnosed Prediabetes,At risk,Obese,60-64,NonHispanic Black,Female,6,123341,7.6771
Diagnosed Prediabetes,At risk,Obese,60-64,NonHispanic Black,,9,161079,10.026
Diagnosed Prediabetes,At risk,Obese,60-64,NonHispanic Asian,Male,0,,
Diagnosed Prediabetes,At risk,Obese,60-64,NonHispanic Asian,Female,1,16375,1.0192
Diagnosed Prediabetes,At risk,Obese,60-64,NonHispanic Asian,,1,16375,1.0192
Diagnosed Prediabetes,At risk,Obese,60-64,Other Race Including Multi Racial,Male,0,,
Diagnosed Prediabetes,At risk,Obese,60-64,Other Race Including Multi Racial,Female,1,20892,1.3004
Diagnosed Prediabetes,At risk,Obese,60-64,Other Race Including Multi Racial,,1,20892,1.3004
Diagnosed Prediabetes,At risk,Obese,60-64,,Male,16,726469,45.2173
Diagnosed Prediabetes,At risk,Obese,60-64,,Female,26,880147,54.7827
Diagnosed Prediabetes,At risk,Obese,60-64,,,42,1606616,100
Diagnosed Prediabetes,Not at risk,Obese,65-70,Mexican American,Male,0,,
Diagnosed Prediabetes,Not at risk,Obese,65-70,Mexican American,Female,5,48489,2.1589
Diagnosed Prediabetes,Not at risk,Obese,65-70,Mexican American,,5,48489,2.1589
Diagnosed Prediabetes,Not at risk,Obese,65-70,Other Hispanic,Male,4,33844,1.5069
Diagnosed Prediabetes,Not at risk,Obese,65-70,Other Hispanic,Female,9,83217,3.7051
Diagnosed Prediabetes,Not at risk,Obese,65-70,Other Hispanic,,13,117061,5.212
Diagnosed Prediabetes,Not at risk,Obese,65-70,NonHispanic White,Male,6,364881,16.2458
Diagnosed Prediabetes,Not at risk,Obese,65-70,NonHispanic White,Female,10,1151306,51.2602
Diagnosed Prediabetes,Not at risk,Obese,65-70,NonHispanic White,,16,1516187,67.506
Diagnosed Prediabetes,Not at risk,Obese,65-70,NonHispanic Black,Male,4,50833,2.2632
Diagnosed Prediabetes,Not at risk,Obese,65-70,NonHispanic Black,Female,6,127859,5.6927
Diagnosed Prediabetes,Not at risk,Obese,65-70,NonHispanic Black,,10,178692,7.956
Diagnosed Prediabetes,Not at risk,Obese,65-70,NonHispanic Asian,Male,1,22090,0.9835
Diagnosed Prediabetes,Not at risk,Obese,65-70,NonHispanic Asian,Female,4,86134,3.835
Diagnosed Prediabetes,Not at risk,Obese,65-70,NonHispanic Asian,,5,108224,4.8185
Diagnosed Prediabetes,Not at risk,Obese,65-70,Other Race Including Multi Racial,Male,1,130600,5.8148
Diagnosed Prediabetes,Not at risk,Obese,65-70,Other Race Including Multi Racial,Female,1,146751,6.5339
Diagnosed Prediabetes,Not at risk,Obese,65-70,Other Race Including Multi Racial,,2,277352,12.3487
Diagnosed Prediabetes,Not at risk,Obese,65-70,,Male,16,602248,26.8142
Diagnosed Prediabetes,Not at risk,Obese,65-70,,Female,35,1643756,73.1858
Diagnosed Prediabetes,Not at risk,Obese,65-70,,,51,2246004,100
Diagnosed Prediabetes,Not at risk,Obese,Over 70,Mexican American,Male,2,23421,1.0071
Diagnosed Prediabetes,Not at risk,Obese,Over 70,Mexican American,Female,7,95967,4.1267
Diagnosed Prediabetes,Not at risk,Obese,Over 70,Mexican American,,9,119388,5.1339
Diagnosed Prediabetes,Not at risk,Obese,Over 70,Other Hispanic,Male,1,6119,0.2631
Diagnosed Prediabetes,Not at risk,Obese,Over 70,Other Hispanic,Female,6,64916,2.7915
Diagnosed Prediabetes,Not at risk,Obese,Over 70,Other Hispanic,,7,71035,3.0546
Diagnosed Prediabetes,Not at risk,Obese,Over 70,NonHispanic White,Male,14,667725,28.7133
Diagnosed Prediabetes,Not at risk,Obese,Over 70,NonHispanic White,Female,16,1105173,47.5243
Diagnosed Prediabetes,Not at risk,Obese,Over 70,NonHispanic White,,30,1772898,76.2375
Diagnosed Prediabetes,Not at risk,Obese,Over 70,NonHispanic Black,Male,4,55390,2.3819
Diagnosed Prediabetes,Not at risk,Obese,Over 70,NonHispanic Black,Female,8,149333,6.4216
Diagnosed Prediabetes,Not at risk,Obese,Over 70,NonHispanic Black,,12,204723,8.8034
Diagnosed Prediabetes,Not at risk,Obese,Over 70,NonHispanic Asian,Male,1,19843,0.8533
Diagnosed Prediabetes,Not at risk,Obese,Over 70,NonHispanic Asian,Female,3,64619,2.7787
Diagnosed Prediabetes,Not at risk,Obese,Over 70,NonHispanic Asian,,4,84463,3.632
Diagnosed Prediabetes,Not at risk,Obese,Over 70,Other Race Including Multi Racial,Male,1,14380,0.6184
Diagnosed Prediabetes,Not at risk,Obese,Over 70,Other Race Including Multi Racial,Female,2,58606,2.5202
Diagnosed Prediabetes,Not at risk,Obese,Over 70,Other Race Including Multi Racial,,3,72986,3.1385
Diagnosed Prediabetes,Not at risk,Obese,Over 70,,Male,23,786878,33.837
Diagnosed Prediabetes,Not at risk,Obese,Over 70,,Female,42,1538615,66.163
Diagnosed Prediabetes,Not at risk,Obese,Over 70,,,65,2325493,100
Diagnosed Prediabetes,Not at risk,Overwweight,Under 40,Mexican American,Male,0,,
Diagnosed Prediabetes,Not at risk,Overwweight,Under 40,Mexican American,Female,0,,
Diagnosed Prediabetes,Not at risk,Overwweight,Under 40,Mexican American,,0,,
Diagnosed Prediabetes,Not at risk,Overwweight,Under 40,Other Hispanic,Male,1,48209,6.332
Diagnosed Prediabetes,Not at risk,Overwweight,Under 40,Other Hispanic,Female,2,58098,7.631
Diagnosed Prediabetes,Not at risk,Overwweight,Under 40,Other Hispanic,,3,106307,13.963
Diagnosed Prediabetes,Not at risk,Overwweight,Under 40,NonHispanic White,Male,1,170718,22.4232
Diagnosed Prediabetes,Not at risk,Overwweight,Under 40,NonHispanic White,Female,4,359433,47.2103
Diagnosed Prediabetes,Not at risk,Overwweight,Under 40,NonHispanic White,,5,530151,69.6335
Diagnosed Prediabetes,Not at risk,Overwweight,Under 40,NonHispanic Black,Male,1,23366,3.069
Diagnosed Prediabetes,Not at risk,Overwweight,Under 40,NonHispanic Black,Female,0,,
Diagnosed Prediabetes,Not at risk,Overwweight,Under 40,NonHispanic Black,,1,23366,3.069
Diagnosed Prediabetes,Not at risk,Overwweight,Under 40,NonHispanic Asian,Male,0,,
Diagnosed Prediabetes,Not at risk,Overwweight,Under 40,NonHispanic Asian,Female,4,85758,11.264
Diagnosed Prediabetes,Not at risk,Overwweight,Under 40,NonHispanic Asian,,4,85758,11.264
Diagnosed Prediabetes,Not at risk,Overwweight,Under 40,Other Race Including Multi Racial,Male,1,15763,2.0704
Diagnosed Prediabetes,Not at risk,Overwweight,Under 40,Other Race Including Multi Racial,Female,0,,
Diagnosed Prediabetes,Not at risk,Overwweight,Under 40,Other Race Including Multi Racial,,1,15763,2.0704
Diagnosed Prediabetes,Not at risk,Overwweight,Under 40,,Male,4,258056,33.8947
Diagnosed Prediabetes,Not at risk,Overwweight,Under 40,,Female,10,503288,66.1053
Diagnosed Prediabetes,Not at risk,Overwweight,Under 40,,,14,761344,100
Diagnosed Prediabetes,Not at risk,Overwweight,40-44,Mexican American,Male,0,,
Diagnosed Prediabetes,Not at risk,Overwweight,40-44,Mexican American,Female,2,71595,35.9727
Diagnosed Prediabetes,Not at risk,Overwweight,40-44,Mexican American,,2,71595,35.9727
Diagnosed Prediabetes,Not at risk,Overwweight,40-44,Other Hispanic,Male,0,,
Diagnosed Prediabetes,Not at risk,Overwweight,40-44,Other Hispanic,Female,1,22276,11.1927
Diagnosed Prediabetes,Not at risk,Overwweight,40-44,Other Hispanic,,1,22276,11.1927
Diagnosed Prediabetes,Not at risk,Overwweight,40-44,NonHispanic White,Male,1,36375,18.2767
Diagnosed Prediabetes,Not at risk,Overwweight,40-44,NonHispanic White,Female,0,,
Diagnosed Prediabetes,Not at risk,Overwweight,40-44,NonHispanic White,,1,36375,18.2767
Diagnosed Prediabetes,Not at risk,Overwweight,40-44,NonHispanic Black,Male,0,,
Diagnosed Prediabetes,Not at risk,Overwweight,40-44,NonHispanic Black,Female,0,,
Diagnosed Prediabetes,Not at risk,Overwweight,40-44,NonHispanic Black,,0,,
Diagnosed Prediabetes,Not at risk,Overwweight,40-44,NonHispanic Asian,Male,2,44535,22.3766
Diagnosed Prediabetes,Not at risk,Overwweight,40-44,NonHispanic Asian,Female,1,24244,12.1813
Diagnosed Prediabetes,Not at risk,Overwweight,40-44,NonHispanic Asian,,3,68779,34.5579
Diagnosed Prediabetes,Not at risk,Overwweight,40-44,Other Race Including Multi Racial,Male,0,,
Diagnosed Prediabetes,Not at risk,Overwweight,40-44,Other Race Including Multi Racial,Female,0,,
Diagnosed Prediabetes,Not at risk,Overwweight,40-44,Other Race Including Multi Racial,,0,,
Diagnosed Prediabetes,Not at risk,Overwweight,40-44,,Male,3,80910,40.6534
Diagnosed Prediabetes,Not at risk,Overwweight,40-44,,Female,4,118115,59.3466
Diagnosed Prediabetes,Not at risk,Overwweight,40-44,,,7,199025,100
Diagnosed Prediabetes,Not at risk,Overwweight,45-49,Mexican American,Male,0,,
Diagnosed Prediabetes,Not at risk,Overwweight,45-49,Mexican American,Female,0,,
Diagnosed Prediabetes,Not at risk,Overwweight,45-49,Mexican American,,0,,
Diagnosed Prediabetes,Not at risk,Overwweight,45-49,Other Hispanic,Male,0,,
Diagnosed Prediabetes,Not at risk,Overwweight,45-49,Other Hispanic,Female,0,,
Diagnosed Prediabetes,Not at risk,Overwweight,45-49,Other Hispanic,,0,,
Diagnosed Prediabetes,Not at risk,Overwweight,45-49,NonHispanic White,Male,0,,
Diagnosed Prediabetes,Not at risk,Overwweight,45-49,NonHispanic White,Female,0,,
Diagnosed Prediabetes,Not at risk,Overwweight,45-49,NonHispanic White,,0,,
Diagnosed Prediabetes,Not at risk,Overwweight,45-49,NonHispanic Black,Male,0,,
Diagnosed Prediabetes,Not at risk,Overwweight,45-49,NonHispanic Black,Female,0,,
Diagnosed Prediabetes,Not at risk,Overwweight,45-49,NonHispanic Black,,0,,
Diagnosed Prediabetes,Not at risk,Overwweight,45-49,NonHispanic Asian,Male,0,,
Diagnosed Prediabetes,Not at risk,Overwweight,45-49,NonHispanic Asian,Female,1,15422,100
Diagnosed Prediabetes,Not at risk,Overwweight,45-49,NonHispanic Asian,,1,15422,100
Diagnosed Prediabetes,Not at risk,Overwweight,45-49,Other Race Including Multi Racial,Male,0,,
Diagnosed Prediabetes,Not at risk,Overwweight,45-49,Other Race Including Multi Racial,Female,0,,
Diagnosed Prediabetes,Not at risk,Overwweight,45-49,Other Race Including Multi Racial,,0,,
Diagnosed Prediabetes,Not at risk,Overwweight,45-49,,Male,0,,
Diagnosed Prediabetes,Not at risk,Overwweight,45-49,,Female,1,15422,100
Diagnosed Prediabetes,Not at risk,Overwweight,45-49,,,1,15422,100
Diagnosed Prediabetes,Not at risk,Overwweight,50-54,Mexican American,Male,0,,
Diagnosed Prediabetes,Not at risk,Overwweight,50-54,Mexican American,Female,0,,
Diagnosed Prediabetes,Not at risk,Overwweight,50-54,Mexican American,,0,,
Diagnosed Prediabetes,Not at risk,Overwweight,50-54,Other Hispanic,Male,0,,
Diagnosed Prediabetes,Not at risk,Overwweight,50-54,Other Hispanic,Female,1,14229,4.4327
Diagnosed Prediabetes,Not at risk,Overwweight,50-54,Other Hispanic,,1,14229,4.4327
Diagnosed Prediabetes,Not at risk,Overwweight,50-54,NonHispanic White,Male,2,184173,57.3745
Diagnosed Prediabetes,Not at risk,Overwweight,50-54,NonHispanic White,Female,1,44897,13.9866
Diagnosed Prediabetes,Not at risk,Overwweight,50-54,NonHispanic White,,3,229070,71.3611
Diagnosed Prediabetes,Not at risk,Overwweight,50-54,NonHispanic Black,Male,0,,
Diagnosed Prediabetes,Not at risk,Overwweight,50-54,NonHispanic Black,Female,1,28874,8.9951
Diagnosed Prediabetes,Not at risk,Overwweight,50-54,NonHispanic Black,,1,28874,8.9951
Diagnosed Prediabetes,Not at risk,Overwweight,50-54,NonHispanic Asian,Male,0,,
Diagnosed Prediabetes,Not at risk,Overwweight,50-54,NonHispanic Asian,Female,2,48828,15.2111
Diagnosed Prediabetes,Not at risk,Overwweight,50-54,NonHispanic Asian,,2,48828,15.2111
Diagnosed Prediabetes,Not at risk,Overwweight,50-54,Other Race Including Multi Racial,Male,0,,
Diagnosed Prediabetes,Not at risk,Overwweight,50-54,Other Race Including Multi Racial,Female,0,,
Diagnosed Prediabetes,Not at risk,Overwweight,50-54,Other Race Including Multi Racial,,0,,
Diagnosed Prediabetes,Not at risk,Overwweight,50-54,,Male,2,184173,57.3745
Diagnosed Prediabetes,Not at risk,Overwweight,50-54,,Female,5,136829,42.6255
Diagnosed Prediabetes,Not at risk,Overwweight,50-54,,,7,321002,100
Diagnosed Prediabetes,Not at risk,Overwweight,55-59,Mexican American,Male,0,,
Diagnosed Prediabetes,Not at risk,Overwweight,55-59,Mexican American,Female,0,,
Diagnosed Prediabetes,Not at risk,Overwweight,55-59,Mexican American,,0,,
Diagnosed Prediabetes,Not at risk,Overwweight,55-59,Other Hispanic,Male,1,25961,7.5958
Diagnosed Prediabetes,Not at risk,Overwweight,55-59,Other Hispanic,Female,0,,
Diagnosed Prediabetes,Not at risk,Overwweight,55-59,Other Hispanic,,1,25961,7.5958
Diagnosed Prediabetes,Not at risk,Overwweight,55-59,NonHispanic White,Male,2,126060,36.8838
Diagnosed Prediabetes,Not at risk,Overwweight,55-59,NonHispanic White,Female,0,,
Diagnosed Prediabetes,Not at risk,Overwweight,55-59,NonHispanic White,,2,126060,36.8838
Diagnosed Prediabetes,Not at risk,Overwweight,55-59,NonHispanic Black,Male,2,50902,14.8935
Diagnosed Prediabetes,Not at risk,Overwweight,55-59,NonHispanic Black,Female,1,34523,10.1012
Diagnosed Prediabetes,Not at risk,Overwweight,55-59,NonHispanic Black,,3,85426,24.9947
Diagnosed Prediabetes,Not at risk,Overwweight,55-59,NonHispanic Asian,Male,2,40554,11.8657
Diagnosed Prediabetes,Not at risk,Overwweight,55-59,NonHispanic Asian,Female,1,24382,7.1338
Diagnosed Prediabetes,Not at risk,Overwweight,55-59,NonHispanic Asian,,3,64936,18.9995
Diagnosed Prediabetes,Not at risk,Overwweight,55-59,Other Race Including Multi Racial,Male,1,19694,5.7621
Diagnosed Prediabetes,Not at risk,Overwweight,55-59,Other Race Including Multi Racial,Female,1,19700,5.7641
Diagnosed Prediabetes,Not at risk,Overwweight,55-59,Other Race Including Multi Racial,,2,39394,11.5262
Diagnosed Prediabetes,Not at risk,Overwweight,55-59,,Male,8,263170,77.0009
Diagnosed Prediabetes,Not at risk,Overwweight,55-59,,Female,3,78605,22.9991
Diagnosed Prediabetes,Not at risk,Overwweight,55-59,,,11,341775,100
Diagnosed Prediabetes,Not at risk,Overwweight,60-64,Mexican American,Male,0,,
Diagnosed Prediabetes,Not at risk,Overwweight,60-64,Mexican American,Female,0,,
Diagnosed Prediabetes,Not at risk,Overwweight,60-64,Mexican American,,0,,
Diagnosed Prediabetes,Not at risk,Overwweight,60-64,Other Hispanic,Male,1,7285,1.8701
Diagnosed Prediabetes,Not at risk,Overwweight,60-64,Other Hispanic,Female,0,,
Diagnosed Prediabetes,Not at risk,Overwweight,60-64,Other Hispanic,,1,7285,1.8701
Diagnosed Prediabetes,Not at risk,Overwweight,60-64,NonHispanic White,Male,1,134254,34.4624
Diagnosed Prediabetes,Not at risk,Overwweight,60-64,NonHispanic White,Female,1,45992,11.8059
Diagnosed Prediabetes,Not at risk,Overwweight,60-64,NonHispanic White,,2,180246,46.2682
Diagnosed Prediabetes,Not at risk,Overwweight,60-64,NonHispanic Black,Male,2,21482,5.5144
Diagnosed Prediabetes,Not at risk,Overwweight,60-64,NonHispanic Black,Female,0,,
Diagnosed Prediabetes,Not at risk,Overwweight,60-64,NonHispanic Black,,2,21482,5.5144
Diagnosed Prediabetes,Not at risk,Overwweight,60-64,NonHispanic Asian,Male,1,23058,5.9189
Diagnosed Prediabetes,Not at risk,Overwweight,60-64,NonHispanic Asian,Female,0,,
Diagnosed Prediabetes,Not at risk,Overwweight,60-64,NonHispanic Asian,,1,23058,5.9189
Diagnosed Prediabetes,Not at risk,Overwweight,60-64,Other Race Including Multi Racial,Male,0,,
Diagnosed Prediabetes,Not at risk,Overwweight,60-64,Other Race Including Multi Racial,Female,1,157496,40.4283
Diagnosed Prediabetes,Not at risk,Overwweight,60-64,Other Race Including Multi Racial,,1,157496,40.4283
Diagnosed Prediabetes,Not at risk,Overwweight,60-64,,Male,5,186080,47.7658
Diagnosed Prediabetes,Not at risk,Overwweight,60-64,,Female,2,203488,52.2342
Diagnosed Prediabetes,Not at risk,Overwweight,60-64,,,7,389568,100
Diagnosed Prediabetes,Not at risk,Overwweight,65-70,Mexican American,Male,1,11757,4.0716
Diagnosed Prediabetes,Not at risk,Overwweight,65-70,Mexican American,Female,0,,
Diagnosed Prediabetes,Not at risk,Overwweight,65-70,Mexican American,,1,11757,4.0716
Diagnosed Prediabetes,Not at risk,Overwweight,65-70,Other Hispanic,Male,0,,
Diagnosed Prediabetes,Not at risk,Overwweight,65-70,Other Hispanic,Female,0,,
Diagnosed Prediabetes,Not at risk,Overwweight,65-70,Other Hispanic,,0,,
Diagnosed Prediabetes,Not at risk,Overwweight,65-70,NonHispanic White,Male,1,185427,64.2171
Diagnosed Prediabetes,Not at risk,Overwweight,65-70,NonHispanic White,Female,1,35383,12.2539
Diagnosed Prediabetes,Not at risk,Overwweight,65-70,NonHispanic White,,2,220810,76.471
Diagnosed Prediabetes,Not at risk,Overwweight,65-70,NonHispanic Black,Male,1,15021,5.202
Diagnosed Prediabetes,Not at risk,Overwweight,65-70,NonHispanic Black,Female,0,,
Diagnosed Prediabetes,Not at risk,Overwweight,65-70,NonHispanic Black,,1,15021,5.202
Diagnosed Prediabetes,Not at risk,Overwweight,65-70,NonHispanic Asian,Male,0,,
Diagnosed Prediabetes,Not at risk,Overwweight,65-70,NonHispanic Asian,Female,2,41163,14.2554
Diagnosed Prediabetes,Not at risk,Overwweight,65-70,NonHispanic Asian,,2,41163,14.2554
Diagnosed Prediabetes,Not at risk,Overwweight,65-70,Other Race Including Multi Racial,Male,0,,
Diagnosed Prediabetes,Not at risk,Overwweight,65-70,Other Race Including Multi Racial,Female,0,,
Diagnosed Prediabetes,Not at risk,Overwweight,65-70,Other Race Including Multi Racial,,0,,
Diagnosed Prediabetes,Not at risk,Overwweight,65-70,,Male,3,212204,73.4907
Diagnosed Prediabetes,Not at risk,Overwweight,65-70,,Female,3,76546,26.5093
Diagnosed Prediabetes,Not at risk,Overwweight,65-70,,,6,288750,100
Diagnosed Prediabetes,Not at risk,Overwweight,Over 70,Mexican American,Male,2,22712,6.0468
Diagnosed Prediabetes,Not at risk,Overwweight,Over 70,Mexican American,Female,0,,
Diagnosed Prediabetes,Not at risk,Overwweight,Over 70,Mexican American,,2,22712,6.0468
Diagnosed Prediabetes,Not at risk,Overwweight,Over 70,Other Hispanic,Male,0,,
Diagnosed Prediabetes,Not at risk,Overwweight,Over 70,Other Hispanic,Female,0,,
Diagnosed Prediabetes,Not at risk,Overwweight,Over 70,Other Hispanic,,0,,
Diagnosed Prediabetes,Not at risk,Overwweight,Over 70,NonHispanic White,Male,4,115013,30.6212
Diagnosed Prediabetes,Not at risk,Overwweight,Over 70,NonHispanic White,Female,2,173182,46.1082
Diagnosed Prediabetes,Not at risk,Overwweight,Over 70,NonHispanic White,,6,288195,76.7294
Diagnosed Prediabetes,Not at risk,Overwweight,Over 70,NonHispanic Black,Male,0,,
Diagnosed Prediabetes,Not at risk,Overwweight,Over 70,NonHispanic Black,Female,1,23381,6.225
Diagnosed Prediabetes,Not at risk,Overwweight,Over 70,NonHispanic Black,,1,23381,6.225
Diagnosed Prediabetes,Not at risk,Overwweight,Over 70,NonHispanic Asian,Male,1,19345,5.1505
Diagnosed Prediabetes,Not at risk,Overwweight,Over 70,NonHispanic Asian,Female,1,21966,5.8483
Diagnosed Prediabetes,Not at risk,Overwweight,Over 70,NonHispanic Asian,,2,41311,10.9988
Diagnosed Prediabetes,Not at risk,Overwweight,Over 70,Other Race Including Multi Racial,Male,0,,
Diagnosed Prediabetes,Not at risk,Overwweight,Over 70,Other Race Including Multi Racial,Female,0,,
Diagnosed Prediabetes,Not at risk,Overwweight,Over 70,Other Race Including Multi Racial,,0,,
Diagnosed Prediabetes,Not at risk,Overwweight,Over 70,,Male,7,157070,41.8185
Diagnosed Prediabetes,Not at risk,Overwweight,Over 70,,Female,4,218529,58.1815
Diagnosed Prediabetes,Not at risk,Overwweight,Over 70,,,11,375599,100
Diagnosed Prediabetes,Not at risk,Healthy,Under 40,Mexican American,Male,1,16210,15.7745
Diagnosed Prediabetes,Not at risk,Healthy,Under 40,Mexican American,Female,1,32736,31.8565
Diagnosed Prediabetes,Not at risk,Healthy,Under 40,Mexican American,,2,48946,47.631
Diagnosed Prediabetes,Not at risk,Healthy,Under 40,Other Hispanic,Male,0,,
Diagnosed Prediabetes,Not at risk,Healthy,Under 40,Other Hispanic,Female,0,,
Diagnosed Prediabetes,Not at risk,Healthy,Under 40,Other Hispanic,,0,,
Diagnosed Prediabetes,Not at risk,Healthy,Under 40,NonHispanic White,Male,0,,
Diagnosed Prediabetes,Not at risk,Healthy,Under 40,NonHispanic White,Female,0,,
Diagnosed Prediabetes,Not at risk,Healthy,Under 40,NonHispanic White,,0,,
Diagnosed Prediabetes,Not at risk,Healthy,Under 40,NonHispanic Black,Male,1,8831,8.5937
Diagnosed Prediabetes,Not at risk,Healthy,Under 40,NonHispanic Black,Female,0,,
Diagnosed Prediabetes,Not at risk,Healthy,Under 40,NonHispanic Black,,1,8831,8.5937
Diagnosed Prediabetes,Not at risk,Healthy,Under 40,NonHispanic Asian,Male,0,,
Diagnosed Prediabetes,Not at risk,Healthy,Under 40,NonHispanic Asian,Female,2,44984,43.7752
Diagnosed Prediabetes,Not at risk,Healthy,Under 40,NonHispanic Asian,,2,44984,43.7752
Diagnosed Prediabetes,Not at risk,Healthy,Under 40,Other Race Including Multi Racial,Male,0,,
Diagnosed Prediabetes,Not at risk,Healthy,Under 40,Other Race Including Multi Racial,Female,0,,
Diagnosed Prediabetes,Not at risk,Healthy,Under 40,Other Race Including Multi Racial,,0,,
Diagnosed Prediabetes,Not at risk,Healthy,Under 40,,Male,2,25041,24.3683
Diagnosed Prediabetes,Not at risk,Healthy,Under 40,,Female,3,77719,75.6317
Diagnosed Prediabetes,Not at risk,Healthy,Under 40,,,5,102760,100
Diagnosed Prediabetes,Not at risk,Healthy,40-44,Mexican American,Male,0,,
Diagnosed Prediabetes,Not at risk,Healthy,40-44,Mexican American,Female,0,,
Diagnosed Prediabetes,Not at risk,Healthy,40-44,Mexican American,,0,,
Diagnosed Prediabetes,Not at risk,Healthy,40-44,Other Hispanic,Male,0,,
Diagnosed Prediabetes,Not at risk,Healthy,40-44,Other Hispanic,Female,0,,
Diagnosed Prediabetes,Not at risk,Healthy,40-44,Other Hispanic,,0,,
Diagnosed Prediabetes,Not at risk,Healthy,40-44,NonHispanic White,Male,0,,
Diagnosed Prediabetes,Not at risk,Healthy,40-44,NonHispanic White,Female,0,,
Diagnosed Prediabetes,Not at risk,Healthy,40-44,NonHispanic White,,0,,
Diagnosed Prediabetes,Not at risk,Healthy,40-44,NonHispanic Black,Male,0,,
Diagnosed Prediabetes,Not at risk,Healthy,40-44,NonHispanic Black,Female,1,22313,32.8787
Diagnosed Prediabetes,Not at risk,Healthy,40-44,NonHispanic Black,,1,22313,32.8787
Diagnosed Prediabetes,Not at risk,Healthy,40-44,NonHispanic Asian,Male,0,,
Diagnosed Prediabetes,Not at risk,Healthy,40-44,NonHispanic Asian,Female,2,45552,67.1213
Diagnosed Prediabetes,Not at risk,Healthy,40-44,NonHispanic Asian,,2,45552,67.1213
Diagnosed Prediabetes,Not at risk,Healthy,40-44,Other Race Including Multi Racial,Male,0,,
Diagnosed Prediabetes,Not at risk,Healthy,40-44,Other Race Including Multi Racial,Female,0,,
Diagnosed Prediabetes,Not at risk,Healthy,40-44,Other Race Including Multi Racial,,0,,
Diagnosed Prediabetes,Not at risk,Healthy,40-44,,Male,0,,
Diagnosed Prediabetes,Not at risk,Healthy,40-44,,Female,3,67866,100
Diagnosed Prediabetes,Not at risk,Healthy,40-44,,,3,67866,100
Diagnosed Prediabetes,Not at risk,Healthy,45-49,Mexican American,Male,0,,
Diagnosed Prediabetes,Not at risk,Healthy,45-49,Mexican American,Female,0,,
Diagnosed Prediabetes,Not at risk,Healthy,45-49,Mexican American,,0,,
Diagnosed Prediabetes,Not at risk,Healthy,45-49,Other Hispanic,Male,0,,
Diagnosed Prediabetes,Not at risk,Healthy,45-49,Other Hispanic,Female,0,,
Diagnosed Prediabetes,Not at risk,Healthy,45-49,Other Hispanic,,0,,
Diagnosed Prediabetes,Not at risk,Healthy,45-49,NonHispanic White,Male,0,,
Diagnosed Prediabetes,Not at risk,Healthy,45-49,NonHispanic White,Female,2,247594,92.5921
Diagnosed Prediabetes,Not at risk,Healthy,45-49,NonHispanic White,,2,247594,92.5921
Diagnosed Prediabetes,Not at risk,Healthy,45-49,NonHispanic Black,Male,1,19809,7.4079
Diagnosed Prediabetes,Not at risk,Healthy,45-49,NonHispanic Black,Female,0,,
Diagnosed Prediabetes,Not at risk,Healthy,45-49,NonHispanic Black,,1,19809,7.4079
Diagnosed Prediabetes,Not at risk,Healthy,45-49,NonHispanic Asian,Male,0,,
Diagnosed Prediabetes,Not at risk,Healthy,45-49,NonHispanic Asian,Female,0,,
Diagnosed Prediabetes,Not at risk,Healthy,45-49,NonHispanic Asian,,0,,
Diagnosed Prediabetes,Not at risk,Healthy,45-49,Other Race Including Multi Racial,Male,0,,
Diagnosed Prediabetes,Not at risk,Healthy,45-49,Other Race Including Multi Racial,Female,0,,
Diagnosed Prediabetes,Not at risk,Healthy,45-49,Other Race Including Multi Racial,,0,,
Diagnosed Prediabetes,Not at risk,Healthy,45-49,,Male,1,19809,7.4079
Diagnosed Prediabetes,Not at risk,Healthy,45-49,,Female,2,247594,92.5921
Diagnosed Prediabetes,Not at risk,Healthy,45-49,,,3,267403,100
Diagnosed Prediabetes,Not at risk,Healthy,50-54,Mexican American,Male,0,,
Diagnosed Prediabetes,Not at risk,Healthy,50-54,Mexican American,Female,0,,
Diagnosed Prediabetes,Not at risk,Healthy,50-54,Mexican American,,0,,
Diagnosed Prediabetes,Not at risk,Healthy,50-54,Other Hispanic,Male,0,,
Diagnosed Prediabetes,Not at risk,Healthy,50-54,Other Hispanic,Female,1,18990,31.9081
Diagnosed Prediabetes,Not at risk,Healthy,50-54,Other Hispanic,,1,18990,31.9081
Diagnosed Prediabetes,Not at risk,Healthy,50-54,NonHispanic White,Male,0,,
Diagnosed Prediabetes,Not at risk,Healthy,50-54,NonHispanic White,Female,0,,
Diagnosed Prediabetes,Not at risk,Healthy,50-54,NonHispanic White,,0,,
Diagnosed Prediabetes,Not at risk,Healthy,50-54,NonHispanic Black,Male,0,,
Diagnosed Prediabetes,Not at risk,Healthy,50-54,NonHispanic Black,Female,1,21271,35.7395
Diagnosed Prediabetes,Not at risk,Healthy,50-54,NonHispanic Black,,1,21271,35.7395
Diagnosed Prediabetes,Not at risk,Healthy,50-54,NonHispanic Asian,Male,0,,
